Mean_Integrated,EK,Skewness,Mean_DMSNR_Curve,SD_DMSNR_Curve,EK_DMSNR_Curve,Skewness_DMSNR_Curve,Class
88.0500793,0.301607729887879,1.631302933,20.5539402,52.997339057,1.240495933,18.475207514,1
117.8386957,0.14124601735101794,-0.391019121,3.245332683,22.20626481,5.005937191,22.383149131,0
120.4329517,0.833703530377947,0.211674926,3.530409549,24.011966123,8.368393477,48.887432303,0
128.2529954,0.5628974293723807,-0.511960901,1.119967475,11.871890509,9.717534162,157.813647975,0
75.1271983,5.465937738018568,4.238586499,22.362040562,49.390599291,1.293737056,-1.630793986,1
124.4799258,1.5921344980334509,0.262890084,8.193901995,29.903707571,3.008968185,35.32839665,0
136.3341856,0.3242351686759455,-0.179936353,20.392640769,54.806102268,3.268690269,-1.630793986,1
79.8553598,3.5055005937791233,3.278526137,0.864108085,9.956067718,14.201456242,256.626004017,1
87.880465,3.4403184543991667,3.095511041,0.817728821,12.211508264,11.277967896,136.109792321,1
128.1462784,0.8454252846451349,-0.443399397,11.915656533,31.68671058,4.977525596,7.067443661,0
86.7814888,6.030037618158284,4.238586499,27.306125157,62.1418418,1.638264568,13.221468946,1
74.3018308,2.9634760571580894,3.737298933,24.564442705,47.031991589,0.309634763,-1.539371782,1
105.6303617,0.11420260731317666,-0.531327152,0.921202849,14.051161665,15.709792315,240.868818535,0
89.3156169,2.3417285329594244,1.462889488,1.296006914,14.697775522,10.699247524,188.475496287,1
97.8925918,1.818073712389816,0.350650591,11.711609839,51.584921943,1.267903945,13.398824369,1
120.5059635,0.7546890082323872,-0.06005878,5.620544811,19.614863173,7.309038249,33.748882774,0
95.3488366,0.6554414643044036,0.803116292,2.977853453,18.96459637,9.773610075,82.093681948,0
116.9677815,0.15411169240436565,0.435613063,1.773086303,13.936754352,11.129025627,128.730585863,0
97.0908462,2.0567547663454926,1.996127001,4.272083645,15.788664977,7.491235399,81.190758008,1
53.1038199,5.740922422180163,4.238586499,15.033932044,43.923207902,1.739255327,17.423571218,1
117.2765201,1.1315393191670737,-0.121513018,1.038356634,15.862188458,14.976809492,198.19531134,0
105.678875,0.12616358872957928,-0.177665953,1.473222668,14.18017907,10.671926623,225.80741862,0
135.1350385,1.0861824128075865,-0.23825852,2.270230774,19.172948371,8.527380715,139.262901041,0
112.1567051,0.7820530467106902,0.856717082,1.711686201,11.453650804,12.332215724,167.518345039,0
131.734077,0.7387934793243588,-0.023907613,2.263072269,14.38673051,10.439558631,85.456432642,0
98.0115149,1.463859679336599,1.977619404,4.064538936,21.057421755,8.998812774,42.571933984,1
111.1326564,0.6792271345257819,0.280295353,6.574568395,26.605559635,4.968937209,17.376881333,0
110.2720197,1.9617555986762394,0.319925872,8.847562082,31.590264193,3.284709359,9.846258229,1
118.8559,0.6108291606665248,0.242420798,4.355266827,18.809483958,6.059621576,38.34563953,0
102.5327367,0.4968652921042498,0.419073367,1.467005794,15.250493861,12.448574983,174.219255456,0
113.7712798,0.6874361612797077,1.256410311,3.519886431,17.415438822,7.7444036,94.856260959,1
96.6603999,3.1085052648117415,2.335526895,19.953969548,40.608771429,3.988921178,8.418884779,1
