0,1,2,3,4,5,6
0.84695315,0.7125934,3.9386263,14.330328,6.523588,55.231236,-0.08626029
0.9267857,0.6224382,1.3659359,12.207733,15.691371,194.91223,-0.037275977
0.6597668,0.10331978,2.2273533,10.714377,8.392876,86.62158,0.018402504
1.3759143,0.3741713,1.4391681,12.155476,14.413596,176.53134,-0.09151699
0.6681709,-0.21823665,3.5894299,12.58607,7.573654,58.962498,0.09178419
1.5383736,-0.68684435,4.981564,14.720266,6.3482876,29.211422,0.09068404
0.5500407,0.73943496,1.5178814,10.08331,7.5817356,67.73236,0.014401743
0.32633808,1.8684515,5.111712,25.42826,13.146632,111.16849,-0.007735757
0.8624166,0.4351435,1.9082512,13.617674,13.227101,154.54631,-0.04071842
1.9267232,0.15154855,7.0509768,25.770985,6.974245,20.151089,0.16524284
0.43346027,0.8513206,4.055171,23.71067,18.324455,195.40501,-0.03064478
0.94190085,0.93340063,4.6517677,17.154877,6.46091,42.539017,0.014237342
1.7627977,0.09320426,6.799619,24.313416,8.004341,44.52174,0.1754193
0.7358322,0.07819517,1.6358062,11.002591,10.4921665,123.69803,-0.0397617
-0.12036085,1.0904136,4.3059845,18.193777,11.878354,115.028595,0.0071981456
0.6958556,0.41851997,3.3454263,20.839478,17.047241,187.26805,-0.075583786
0.41773537,0.18524188,2.3935409,10.973225,6.5637054,61.238194,0.027239462
1.2588989,1.003759,4.4446154,19.550585,7.134865,45.553314,0.03050319
-0.43483797,1.3901165,5.045028,22.374174,13.748368,130.37836,-0.026640343
1.8476803,-0.020548671,5.723688,21.685596,6.806782,23.273449,0.14124064
0.22404966,0.7429713,2.9028955,11.816081,6.497177,60.578705,-0.062330693
0.8636917,0.2064552,1.1756965,9.187465,8.496897,100.79007,-0.061735786
0.24421608,0.64570713,3.5215588,19.63866,13.837481,139.47475,-0.015621232
-0.5363921,1.7423668,6.4290147,28.900759,17.315456,164.19443,-0.0058400203
0.12158424,0.7199099,2.6431882,16.125624,14.390355,160.66345,0.011275595
3.1138613,-1.9568145,18.232748,48.453064,8.495535,6.2759743,0.29302576
0.825143,0.11646198,1.7655749,11.286982,9.422072,102.34338,-0.07408698
-0.2341004,1.3150666,4.166982,18.468895,13.581522,138.31177,-0.047501683
0.95238817,0.56094706,1.7477648,13.05958,14.022296,168.7609,-0.050502762
-0.35907564,1.3374808,4.2681427,17.788805,10.992625,102.58728,-0.033563852
0.36064902,1.6775331,5.9402847,29.32716,15.271766,135.51819,-0.02983133
0.17253965,0.7722603,1.4917142,9.428119,7.4725885,67.72722,0.006619377
0.85386777,0.43508947,2.127911,12.861776,5.274106,42.667637,0.03357677
1.436707,-0.07496542,4.2233834,15.433607,4.9026756,14.887472,0.11994484
0.29936105,0.4234839,2.144676,11.6284485,7.219199,70.47322,0.017788472
1.0807768,1.1642911,4.5476713,19.41308,7.9452477,60.079277,-0.012838762
0.32698062,0.20328532,3.3229973,14.411525,7.532486,69.841446,0.038863927
0.9171134,-0.019388556,1.6667696,8.931355,7.372023,79.68384,-0.007840222
0.4678813,0.093293935,1.9023496,10.053728,6.170751,62.20035,0.009969963
0.97168505,0.32980704,1.3712015,11.050526,13.131545,159.98157,-0.05908919
1.0379329,0.34509188,1.7104834,11.940353,7.194068,69.25769,-0.013753526
0.53927875,1.9373341,5.049787,24.826754,12.467891,106.96417,-0.033051535
0.41021928,0.53352666,1.3551402,8.623528,7.196833,64.07263,0.0041223075
1.545922,0.6377143,1.3285669,13.878099,19.204044,240.17725,-0.07041604
0.6773088,0.2948918,2.168872,11.190202,4.394944,31.760246,0.043092266
4.343545,-1.0449961,22.936375,66.51722,11.286003,13.002612,0.332492
1.3217388,0.52903557,1.1167728,9.115365,14.510249,168.80219,0.015424198
-0.08139354,1.094065,2.859027,14.292569,12.3927765,131.65355,0.011993865
0.62935853,0.6580702,2.8587782,14.618831,7.0513463,50.945957,0.09157721
0.27481833,2.2508886,6.2820435,28.688416,15.006701,129.43666,-0.039693125
1.6383394,-0.23784044,4.0684075,13.582409,10.768638,91.57008,0.08681836
0.39484832,0.27768385,1.908091,10.603671,6.940806,71.86444,-0.027379708
0.87502325,0.07593718,1.670359,10.699683,8.1345,90.25566,-0.069376834
2.5150964,0.08716327,15.963442,46.232796,13.327641,63.406807,0.21531801
0.075784534,0.9121579,4.678879,22.184525,15.321298,155.33047,-0.06115078
2.868751,1.1904836,9.896089,39.132908,11.060439,50.541,0.15559073
0.73561263,0.25342607,1.9859813,12.251083,7.609953,77.10155,-0.051391557
2.2825632,-1.3158197,9.0349,27.224852,6.8399568,25.348503,0.14956659
0.26477867,0.57943445,2.5272021,11.466539,6.254388,60.380684,-0.031019988
0.45598274,0.17158584,1.5906748,6.991596,3.6959593,27.255686,0.01127961
0.1863262,0.42561865,1.9921194,11.116602,9.501715,99.2505,0.028027248
0.7425349,0.07361743,4.4892826,16.853596,5.207567,21.00288,0.06615587
0.42231244,0.7993375,3.2512836,18.98952,15.592046,166.9249,-0.0056481976
0.7142259,0.29298228,4.253006,16.640924,6.310318,41.94504,0.061649695
0.94460285,0.4373887,2.852398,17.709354,14.119649,150.55788,-0.029523028
2.2833943,0.88912654,0.52254313,12.730774,24.974003,325.4927,-0.09666763
1.7175572,-0.28282413,2.6473517,10.391756,10.815616,109.53726,0.0039556455
3.5138123,-2.4940507,14.856115,39.85113,10.605882,29.498596,0.22822908
0.09120354,0.71006167,4.1175995,16.480879,11.414666,109.17378,0.020715432
0.92590904,1.2706751,3.98378,23.110832,10.26881,84.20776,0.025913522
1.0062064,0.49437365,2.088217,15.28513,16.205772,195.71317,-0.06849799
0.60520816,0.3405112,3.3604364,12.894947,5.634162,48.74892,-0.03052544
1.2335941,0.26258656,1.0772992,7.3653994,11.758654,140.17511,-0.1021611
3.0577853,-1.3547068,9.863457,30.742863,10.462652,64.614006,0.19932869
0.88100445,-0.1774942,2.4143147,9.064421,4.1052313,27.46845,0.039615676
0.5680021,0.21571466,1.9922655,13.094095,13.6327715,159.73427,-0.02116404
0.8788953,0.22729781,7.80326,22.92468,8.868013,52.149113,0.00017468072
1.3897743,1.5527493,7.413397,28.506218,11.785324,78.55104,0.076649755
-0.1853045,1.2828021,4.2781944,18.818977,12.237334,114.74957,-0.018432433
4.779734,-2.6685317,28.893179,79.20926,12.270659,9.52791,0.4248064
0.4536143,0.21844858,1.895825,11.071703,6.7674713,71.68855,-0.02076391
0.6465175,0.12229526,1.1492254,7.460535,6.267773,66.96612,-0.043466598
0.37088352,0.6814792,1.2941097,7.836199,8.0878,80.26126,0.02798239
0.9021385,0.60307217,2.4489439,15.500106,7.172744,63.704685,-0.021575192
1.0360723,0.10702896,1.3390815,9.114996,7.3356066,78.55521,-0.014305247
1.3498384,-0.29904494,2.2693431,9.080371,6.510931,57.55006,0.0238
1.033399,0.39267844,1.1931859,8.501199,10.1460285,113.268616,-0.055273607
0.00895676,1.5283316,5.2006674,23.791042,13.0516205,116.83154,-0.024639832
1.296256,-0.71200395,5.4828386,15.616198,6.2427473,26.249708,0.08415373
1.1077439,0.88623476,2.415303,16.212513,6.1304135,39.656727,0.05476264
2.5829077,-0.7896898,12.216611,32.77137,8.351233,29.765724,0.10056079
1.7507547,0.45721182,1.0884447,12.565863,18.635586,239.59366,-0.0733165
1.6633927,-0.40717652,5.34781,19.548613,5.9806614,24.001339,0.1771377
2.422695,0.48805335,0.39612016,11.368496,23.17978,304.7297,-0.14945206
0.36147934,0.3823709,1.7051467,10.435893,7.299056,77.61185,-0.016062971
1.8933581,-0.076536596,8.811781,24.94627,9.400203,51.303967,0.06002461
0.8349279,0.18250361,0.9042984,6.4813423,6.6930285,71.204926,-0.053360276
3.5676367,-2.1770618,20.208803,53.285946,9.225469,14.076694,0.25144783
2.8596742,-1.4973309,15.293737,41.089935,7.66119,10.860788,0.21887626
1.63221,-0.8331685,6.910154,18.56497,6.0589676,16.736166,0.07541342
1.2999512,0.34966037,2.5397382,18.049202,20.305416,244.24391,-0.07006742
0.52239627,0.29439214,1.7107873,10.715496,8.508533,91.93916,-0.02808209
1.1497105,0.7857628,2.20002,17.148699,21.120567,258.8403,-0.006994879
3.5621204,-2.604112,16.936018,44.471924,11.979756,40.12571,0.2225841
0.7829883,0.3467993,1.3195992,7.9500017,8.492102,88.71175,0.04199051
1.5524757,-0.48897418,4.13269,17.32484,11.56286,120.7796,0.050022744
0.75804675,0.10314733,2.4200668,9.869939,4.8178625,27.80004,0.06433538
0.44815907,0.71007353,1.2655768,8.513529,7.6523705,68.249054,0.06023591
1.3291309,0.9085225,3.756265,18.518484,6.254904,36.87875,0.06736027
1.51415,1.309828,2.0271842,18.659008,24.57547,294.08878,-0.028508225
0.5650284,0.75640583,2.5459762,13.245371,5.3832006,28.843649,0.13070971
